name,ジャンル,その他ジャンル,都道府県,住所,建物名フロア数,電話番号,最寄り駅,Googleマップ,ウェブサイト,イートイン,テイクアウト,デリバリー,通販,クラファン・チケット,オンライン料理教室,期限付酒類小売業免許,Twitter,Facebook,Instagram,公式LINE,混雑状況アプリ,位置情報(緯度経度),定休日,営業時間,イートインメニュー,非接触決済,クレジットカード,個室,室内の完全禁煙,バリアフリー,席数,営業時間(テイクアウト),テイクアウトメニュー,事前注文URL,サービス名,サービスのURL,サービス名２,サービスのURL２,詳細,出前のURL,通販サイト,通販サイト2,通販メニュー,サイト名,タイトル,サービスURL,終了日,サイト名,料理教室の内容,オンラインのURL,提供元
旬の台所　連根屋,和食,,茨城県,茨城県牛久市神谷1丁目6-8,,0298713094,牛久駅,https://g.page/renkonya?share,http://renkonya.com/,true,true,,false,false,,,,,https://instagram.com/renkon11,,,"35.974809, 140.151393",,,,,,,,,,,"◆匠美鶏弁当　1000円
ガーリック、カツ、照焼の３種類からお選びください。
◆おすすめ！連根屋弁当　1500円
当店の人気メニュー、レンコンはさみ揚げ、おからコロッケ、レンコン焼売を盛り込みました。
◆国産牛ローストビーフ丼　1500円
和食屋ならではのローストビーフをたっぷりと。宮崎牛に変更すると3000円になります。
◆旬の台所弁当　2300円
メインを魚か肉かお選びいただけるメニューになります。
（全て税別、全て味噌汁サラダ付き）",,,,,,,,,,,,,,,,,,
ハンアリ,アジア・エスニック,,茨城県,茨城県つくば市天久保2丁目6-24,,0298754989,つくば駅,https://goo.gl/maps/WPDhvHW9bFUG7gby8,http://www.nikuyaku.com/,true,〇,,false,false,,true,,,,,,"36.097634, 140.106376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ばんどう太郎,和食,,茨城県,茨城県つくば市天久保2丁目14-1,,0298759371,つくば駅,https://goo.gl/maps/pGAmyfVz1a2w9ncm8,https://www.google.co.jp/url?url=http%3A%2F%2Fwww.bandotaro.co.jp%2F&sa=t&rct=j&source=maps&cd=1&usg=AOvVaw1BBliv8rQc24Zg-9v7E96v&ved=1i%3A1%2Ct%3A3443%2Ce%3A0%2Cp%3A4PWoXpbLJpiGoAT_17-wBg%3A3678,true,true,,false,false,,,,,,,,"36.096781, 140.110378",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
わかたろう,居酒屋・ダイニングバー,,茨城県,茨城県つくば市天久保3丁目21-3星谷ビル1F,,0298759891,つくば駅,https://goo.gl/maps/vt9PuaENkgpEt9zL7,http://wakatarou.com/,true,true,,false,false,,,https://twitter.com/wakatarooooo,,,,,"36.105511, 140.108706",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"焼鳥 EARTH,CHICKEN&FIRE(アーチキ)",焼き鳥,,茨城県,茨城県つくば市筑穂１丁目１４−１３,,0298790860,,https://g.page/earchicke?share,,true,true,,false,false,,,,,,,,"36.1347886,140.0839884",,,,,,,,,,,,,,,,,,,,,,CAMPFIRE,新型コロナウイルスに負けない！つくばの飲食店応援プロジェクト,https://camp-fire.jp/projects/view/267922,2020/06/19,,,,
台湾めしと四川麻婆豆腐専門店 金の馬結,中華料理,,茨城県,茨城県つくば市天久保2丁目15-7,,0298797283,つくば駅,https://goo.gl/maps/pGAwwuAMsJToKtRB9,http://www7.plala.or.jp/taipei1515/,true,true,,false,false,,,https://twitter.com/kinnobaketsu,,http://instagram.com/kinnobaketsu,,,"36.097515, 140.110323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
本格炭火焼 山鶴（竹園）,居酒屋・ダイニングバー,,茨城県,茨城県つくば市竹園2丁目11-11-21竹園アイステナント007,,0298798444,つくば駅,https://goo.gl/maps/wZgakMdxRVqL6NDL7,,true,true,,false,false,,,,,,,,"36.0775, 140.120592",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
みなみのわびさび,居酒屋・ダイニングバー,,茨城県,茨城県つくば市天久保2丁目3-1,,0298798772,つくば駅,https://goo.gl/maps/tPYXMQXm3oFU15cy7,,〇,true,,✖,✖,,,,,,,,"36.095648, 140.106634",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
つくば食堂 花,カフェレストラン,,茨城県,茨城県つくば市上野700-5,,0298799873,つくば駅,https://goo.gl/maps/tUygJx8NGdy324oa6,http://www.tsukuba-hana.net/,true,true,,false,✖,,,https://twitter.com/hana_tsukuba,https://facebook.com/tsukubahana,,,,"36.114899, 140.112164",,,,,,,,,,,大地の御弁当1000円から,,,,,,,,,,,,,,,,,,
はりけんラーメン,ラーメン・つけ麺,ラーメン,茨城県,茨城県つくば市栗原2857-8,,0298863833,つくば,"https://maps.google.com/maps?ll=36.111728,140.111053&z=12&t=m&hl=ja&gl=US&mapclient=embed&q=%E3%80%92305-0001%20%E8%8C%A8%E5%9F%8E%E7%9C%8C%E3%81%A4%E3%81%8F%E3%81%B0%E5%B8%82%E6%A0%97%E5%8E%9F%EF%BC%92%EF%BC%98%EF%BC%95%EF%BC%97%E2%88%92%EF%BC%98",,true,true,,false,false,,,,,,,,"36.111728,140.111053",,,,,,,,,,,,,,,,,,,https://www.takumen.com/products/843,,,,,,,,,,
SORACAFE,喫茶店・カフェ,,茨城県,茨城県つくば市天久保3丁目2-8ウッディライフつくば1F,,0298869750,つくば駅,https://goo.gl/maps/Q3rStzZMieQJ1WbeA,http://www.soracafe-tsukuba.sakura.ne.jp/,true,true,,false,✖,,,https://twitter.com/soracafe_tsuku,,http://instagram.com/soravafe_tsukuba,,,"36.103722, 140.099237",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
グルービー研究学園店,イタリアン,,茨城県,茨城県つくば市研究学園3ー23ー4,,0298932822,研究学園駅,https://goo.gl/maps/zjcF5Q9k5Dwf6nYq7,,true,true,,✖,false,,,,,,,,"36.089579, 140.074333",,,,,,,,,,,海賊スパゲッティー1420円  海の幸のトマトスパゲッティー1180円 えびときのこのマヨネーズスパゲッティー1150円 野菜いっぱいのトマトスパゲッティー1160円 生ハムのペペロンチーノ1150円 ベーコンとナスのミートスパゲッティー1180円 スモークサーモンピザ（レギュラーサイズ）1010円などなど,,,,,,,,,,,,,,,,,,
HAREGOHAN,創作料理・無国籍料理,,茨城県,茨城県つくば市学園の森3丁目21-1MeeTocoB-2,,0298936245,研究学園駅,https://goo.gl/maps/5Xtm4L9zNe9V1RsC7,https://www.haregohan.com/,true,true,,false,false,,,https://twitter.com/hare_gohan,,http://instagram.com/haregohan,,,"36.093043, 140.091049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
スペイン料理cambio,スペイン料理,,茨城県,茨城県つくば市学園の森2-39-4,,0298936363,研究学園駅,https://goo.gl/maps/zqjcCx9zFvSxgvhCA,www.cambio-tsukuba.com,true,true,,false,false,,,,,,,,"36.100686, 140.079114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
タイ料理メーマリ~Thai food Mae Mali~,アジア・エスニック,,茨城県,茨城県つくば市山中３−１,,0298963773,つくば駅,https://goo.gl/maps/nMsD3VsA1CbrsNaJ8,https://thai-food-mae-mali.business.site/,true,true,,false,false,,,,,,,,"36.060427, 140.091071",,,,,,,,,,,日替わりランチ三種類800円,,,,,,,,,,,,,,,,,,
おテイクアウト処 仲々,定食・食堂,,茨城県,茨城県つくば市春日4丁目20-2,,0298968283,つくば駅,https://goo.gl/maps/WiAE2cmh36xT7VQ56,,〇,〇,,✖,✖,,,https://twitter.com/nakanakakasuga4,https://www.facebook.com/nakanaka.kasuga/,,,,"36.099898, 140.09834",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
つけめん・まぜそばむじゃき,ラーメン・つけ麺,,茨城県,茨城県つくば市天久保2丁目10-19,,0298968988,つくば駅,https://goo.gl/maps/hojgy3zYSRt7xtHn6,https://mujaki.wixsite.com/mjk-official,true,true,,true,✖,,,https://twitter.com/tukemaze_mujaki,,,,,"36.097181, 140.109312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
お好み焼き 蔵人,お好み焼き・もんじゃ焼き,,茨城県,茨城県かすみがうら市下稲吉3185-1,,0299596371,石岡駅,https://goo.gl/maps/pppcmCD1sqt6NGoy5,https://radioprima.net/16fmpmichikusajpb6/,〇,〇,,✖,✖,,,https://twitter.com/junko_mama_san,,,,,"36.130072, 140.235904",,,,,,,,,,,広島・関西・韓国風お好み焼き各種720円から・メガステーキ500g2450円・ポテトフライ480円,,,,,,,,,,,,,,,,,,
レストランハーバー,洋食,,茨城県,茨城県神栖市平泉東1-64-182,,0299932446,小見川駅,https://goo.gl/maps/aJH82LjZhnq8MkP39,,〇,〇,,✖,✖,,,,,,,,"35.900388, 140.639357",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIN SOPH. ripple,ベジ・ヴィーガン,アメリカン,東京都,東京都新宿区歌舞伎町２−４６−８新宿日章ビル１F,,03063803205,西武新宿駅北口（徒歩１分）・JR大久保駅・JR新大久保駅（徒歩６分）,https://goo.gl/maps/CzukaMmzJ2jdAUzRA,ain-soph.jp,true,true,true,false,false,,,,http://www.facebook.com/ainsoph.japan,https://www.instagram.com/ainsoph_jp/,,,"35.697887, 139.700731",,,,,,,,,,,,,,,,,,,https://ainsophjp.official.ec,,,,,,2020/05/13,,,,
にっぽんのひとさら,カフェレストラン,,東京都,東京都千代田区丸の内3-1-1国際ビル地下1階,,0332012878,有楽町駅,https://goo.gl/maps/tnMFSMbwwCsUh8nt8,https://nippon-hitosara.com/,true,true,,false,false,,,,,https://www.instagram.com/nipponnohitosara,,,"35.676685, 139.760903",,,,,,,,,,,"
【日替わり】発酵鶏のから揚げ定食800円(税込)【日替わり】発酵カレー弁当800円(税込)
【予約限定】特選！発酵9種1,300円(税込)",,,,,,,,,,,,,,,,,,
Pizzeria TAKATA BOKUSYA,イタリアン,,東京都,東京都新宿区戸塚町1−101高田牧舎ビル１F,,0332022376,早稲田駅,https://goo.gl/maps/ARnwC6RrCE26kfkV9,,true,true,,false,false,,,https://twitter.com/takatabokusya?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.facebook.com/takadabokusya/,,,,"35.707647, 139.720011",,,,,,,,,,,"ランチピザセット1000円（11:30~16:00)
マルゲリータ　1200円　シチリアーナ1400円　クワトロフォルマッジ1200円　フンギ1300円　パスタボロネーゼ1000円　前菜盛り合わせ900円　海の幸サラダ　800円　フリット３種盛り　1000円　和牛スネ肉の赤ワイン煮込み1200円　他",,,,,,,,,,,,,,,,,,
イル・デ・パン,カフェレストラン,,東京都,東京都新宿区早稲田鶴巻町５３７メゾン三晃1F,,0332038191,早稲田駅,https://goo.gl/maps/LtmLp3MtSfdCCiek9,,true,true,,false,✖,,,,,,,,"35.708567, 139.722869",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
のりまき屋,和食,,東京都,東京都中央区新川1-9-9伊豫隅ビル1階,,0332060030,茅場町駅,https://maps.app.goo.gl/pQWwSPayu5yi4c758,http://www.norimakiya.net,true,〇,,false,✖,,,https://mobile.twitter.com/norimakiya2,https://facebook.com/norimakiya/,https://instagram.com/norimaki.ya/,,,"35.677252, 139.782746",,,,,,,,,,,"

【メニュー（税込み）】
●寿司ブリトーランチセット
（お好きなブリトー2本と季節のスープ） 900円 ※10:00-15:00の販売です

●寿司ブリトー単品 500円
●スープ単品 100円
●期間限定 北海道エッグタルト 200円

寿司ブリトー各種
○マグロとアボカド
○W穴子
○いくらとサーモン
○ローストビーフ
○タンドリーチキン

※ その他大皿オードブル、唐揚げポテト、2種のキッシュなどはご注文金額税別5,000円から近隣の宅配も致しますのでお電話でご予約下さい。",,,,,,,,,,,,,,,,,,
Gland MA,居酒屋・ダイニングバー,,神奈川県,神奈川県川崎市多摩区登戸１８３１−１,,000000,向ヶ丘遊園駅,,,true,true,,false,✖,,,,,,,,"35.619619, 139.563303",,,,,,,,,,,"からあげ弁当
しょうが焼き弁当",,,,,,,,,,,,,,,,,,
炭焼長者 馬場六区,居酒屋・ダイニングバー,,東京都,東京都新宿区高田馬場2丁目15-7　03ビル1F,,0332098869,高田馬場駅,https://maps.app.goo.gl/jyawNw3e7AUZKvz88,,true,〇,,〇,true,,,https://twitter.com/8869jp,https://facebook.com/8869jp/,,,,"35.713516, 139.706545",,,,,,,,,,,"お弁当各種600円　晩酌セット各種1,500円",,,,,,,,https://8869.thebase.in/,,,,,,,,,,
サンパ（SYMPA)（ワインレストラン サンパ）,フレンチ,,東京都,東京都杉並区荻窪5-16-23リリーベル荻窪B1,,0332202888,荻窪駅,https://goo.gl/maps/47NWqqrdbdASeNuo9,https://ameblo.jp/sympa-ogikubo/,true,true,,false,false,,,,,,,,"35.703645, 139.617745",,,,,,,,,,,今のところ日によって違い、ブログや電話で確認できます。,,,,,,,,,,,,,,,,,,
麺者服部（めんじゃはっとり）,ラーメン・つけ麺,ラーメン,東京都,東京都千代田区西神田2-1-8,,0332211232,水道橋,"https://maps.google.com/maps?ll=35.698914,139.756058&z=14&t=m&hl=ja&gl=US&mapclient=embed&q=%E3%80%92101-0065%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E8%A5%BF%E7%A5%9E%E7%94%B0%EF%BC%92%E4%B8%81%E7%9B%AE%EF%BC%91%E2%88%92%EF%BC%98",,true,true,,false,false,,,,,,,,"35.698914,139.756058",,,,,,,,,,,,,,,,,,,https://www.takumen.com/products/48,,,,,,,,,,
たれ山 中野店,焼肉,,東京都,東京都中野区中野4-6-17,,0332288989,中野駅,https://maps.app.goo.gl/ARm8zaR9cvSzYSzy7,,true,true,,false,✖,,,,,,,,"35.709831, 139.664002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鮨　みずかみ,寿司,,東京都,東京都千代田区一番町3-8,,0332300326,半蔵門駅,https://goo.gl/maps/asA1v9Tkdf1gDefZ6,http://sushi--mizukami.jp/,true,true,,false,false,,,,https://facebook.com/profile.php?id=100013991551086,,,,"35.687714, 139.743301",,,,,,,,,,,"お持帰用 ばらちらし ¥6,000・穴子ちらし ¥5,000・蒸し(雲丹・鮑)ちらし　¥10,000 ☆「ちらし」に追加・太巻 ¥3,000・細巻 ¥1,000/本 (干瓢・穴きゅう・江戸前おぼろ・梅しそ胡瓜・梅しそ沢庵)",,,,,,,,,,,,,,,,,,
ランチョン,フレンチ,洋食、ビヤホール,東京都,東京都千代田区神田神保町1-6,,0332330866,神保町駅,https://goo.gl/maps/uwewR6jNgP1U5mMW6,http://www.luncheon.jp,true,true,,false,false,,,https://twitter.com/Luncheon_beer,,,,,"35.696183, 139.759347",,,,,,,,,,,オムライス932円　メンチカツ1129円　ハンバーグ1178円　カツサンド1570円　エビクリームコロッケ1080円　仔牛のカツレツ1570円　ハヤシライス1178円　カレーライス1178円　ビーフシチュー1963円　エビフライ2749円　日替わりランチ981円,,,,,,,,,,,,,,,,,,
イル ボッリート 新宿,イタリアン,,東京都,東京都新宿区若宮町5,,0332353225,飯田橋駅,https://goo.gl/maps/aD5uw2SCek8WU7oR6,https://www.instagram.com/kagurazaka_ilbollito/,true,true,,false,false,,,,https://m.facebook.com/IL-BOLLITO-383068001847139/,https://www.instagram.com/kagurazaka_ilbollito/,,,"35.700298, 139.739907",,,,,,,,,,,"■前菜 /¥500
・“石川県能登” 高農園の春サラダ 
・小玉ねぎのアグロドルチェ
(玉ねぎの甘酸っぱいバルサミコマリネ)
・自家製チッチョラータ
(豚のコラーゲン部分を煮込んで固めたプレスハム)
・エルバッツォーネ
(ほうれん草とリコッタチーズのパイ包み)

■パスタ&リゾット/¥1000
・タリアテッレ　〜粗挽き牛肉のボロネーゼ〜
・タリオリーニ　〜バターとチーズのソース〜
・リゾット　　　〜パルミジャーノチーズ〜

■メイン/¥1400
・1日煮込んだ肉厚牛タン
・煮込みの定番国産牛ほほ肉
・60°cで煮込む豚フィレ肉
・国産仔牛もも肉のボローニャ風カツレツ

■～ご家族や３,4名様用～
¥1600/2人前
・前菜4種類盛り合わせ

¥2000/2人前
・「生ハム」盛合せ

¥3300/2人前
・茹で肉3種類盛り合わせ",,,,,,,,,,,,,,,,,,
トラットリア エ ピッツェリア コニファー,イタリアン,,東京都,東京都杉並区久我山3-24-22,,0332472530,久我山駅,https://goo.gl/maps/WjApr8x6W7m3QTeM9,http://www.trattoriaconifer.tokyo/,〇,〇,,false,✖,,,,https://facebook.com/rattoriaconifer.tokyo/?ref=bookmarks,https://instagram.com/trattoria_e_pizzeria_conifer,,,"35.687024, 139.598866",,,,,,,,,,,"クセになるフライドポテト　500円
生ハムルーコラ　900円
前菜盛り合わせ　1,200円
トマトソースのニョッキ　800円
チーズリゾット　800円
ラザニア　800円
マルゲリータ　1,100円
マリナーラ　1,000円
クアトロフォルマッジ　1,500円
ポルケッタ(豚肉をハーブで味付けした美味しいロースト)  1,200円〜
ランチタイム限定パヌッツォ(ピザ生地サンドイッチ)  800円",,,,,,,,,,,,,,,,,,
ぎんざまぐろや築地店,和食,,東京都,東京都中央区築地6丁目8-10,,0332482751,築地駅,https://goo.gl/maps/VHykQnWSM1a3scjv6,https://r.gnavi.co.jp/a962200/,true,false,,false,true,,,,,,,,"35.665031, 139.773477",,,,,,,,,,,ばらちらし1100円　にぎり1人前1100円,,,,,,,,,,,,,,,,,,
チキンプレイス小舟町店,居酒屋・ダイニングバー,,東京都,東京都中央区小舟町9-2,,0332491795,人形町駅,https://goo.gl/maps/YeseFUieGny6ZN4S8,,true,true,,false,false,,,,,,,,"35.685407, 139.779066",,,,,,,,,,,"特製チキンカレー700円　
チキンカレーのナンピザ800円　
焼き鳥1本180円〜　
燻製ローストチキン880円",,,,,,,,,,,,,,,,,,
神田　笹鮨,寿司,鮨,東京都,東京都千代田区鍛冶町2-8-5,,0332523344,神田駅,https://goo.gl/maps/bsUHDEtvyP9e8tkc7,https://www.sasazushi.com,true,true,,false,false,,,https://twitter.com/sasa_no_waka,https://facebook.com/kandasasazushi/?ref=bookmarks,,,,"35.692606, 139.772435",,,,,,,,,,,江戸前握り鮨2160円 　江戸前ちらし鮨2160円,,,,,,,,,,,,,,,,,,
エリエート  秋葉原,喫茶店・カフェ,,東京都,東京都台東区秋葉原3-11,,0332538808,秋葉原駅,https://goo.gl/maps/FAuqhewY75stusiLA,,true,true,,false,false,,,,,,,,"35.702096, 139.775015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
排骨担々五ノ井,中華料理,,東京都,東京都千代田区神田猿楽町1-3-6HARAビル1F,,0332590125,神保町駅,https://goo.gl/maps/gfL7rUJtwwRnbVup7,https://r.goope.jp/paikutantan,true,true,,false,false,,,https://twitter.com/paikutantan,https://facebook.com/paikutantan/,,,,"35.697888, 139.759316",,,,,,,,,,,「排骨飯」¥1000 。特製海老ワンタン ¥550。排骨汁なし担々麺¥1050。肉燥飯（肉そぼろ飯バーソープン）¥300 他,,,,,,,,,,,,,,,,,,
八の坊,ラーメン・つけ麺,ラーメン,京都府,京都府京都市中京区西ノ京伯楽町22-9,,000000,円町,"https://maps.google.com/maps?ll=35.019018,135.727934&z=14&t=m&hl=ja&gl=US&mapclient=embed&q=%E3%80%92604-8452%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%AD%E4%BA%AC%E5%8C%BA%E8%A5%BF%E3%83%8E%E4%BA%AC%E4%BC%AF%E6%A5%BD%E7%94%BA%EF%BC%92%EF%BC%92%E2%88%92%EF%BC%99",,true,true,,false,false,,,,,,,,"35.019018,135.727934",,,,,,,,,,,,,,,,,,,https://www.takumen.com/products/1252,,,,,,,,,,
ラビチュード,フレンチ,,東京都,東京都新宿区南山伏町3-5ワインコート神楽坂1F,,0332608784,牛込神楽坂駅,https://goo.gl/maps/1D2dSEvWa3nyXU98A,,true,true,,false,✖,,,,,,,,"35.698882, 139.729671",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
インド料理 ムンバイ 九段店,カレー,,東京都,東京都千代田区九段南２丁目２−８松岡九段ビルB1F,,0332612211,九段下駅,https://goo.gl/maps/8tmLSKwJwptTa5sq7,https://mumbaijapan.com/kudan/,〇,true,,✖,✖,,,https://twitter.com/MumbaiPink/,,https://instagram.com/mumbaijapan/,,,"35.694363, 139.747117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
